"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in local currency, unless specified"
"Definitions:"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","promotional rebates","selling fees","fba fees","other transaction fees","other","total"
"16 Mar 2025 12:02:16 AM UTC","24445347672","Order","404-7058680-1069938","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Fujairah","","","45.99","0","0","-4.60","-9.45","0","0","31.94"
"16 Mar 2025 3:54:32 AM UTC","24445347672","Order","406-3937921-1007561","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Dubai","","","45.99","1.00","-1.00","-4.60","-9.45","0","0","31.94"
"16 Mar 2025 5:32:24 AM UTC","24445347672","Order","171-2011825-6860361","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Dubai","","","45.99","0.60","-0.60","-4.60","-9.45","0","0","31.94"
"16 Mar 2025 8:58:23 PM UTC","24445347672","Order","403-8476263-2197923","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","1","amazon.ae","Amazon","Al Ain","","","90.99","2.00","-2.00","-9.10","-11.03","0","0","70.86"
"16 Mar 2025 9:40:20 PM UTC","24445347672","Order","407-0434170-5254768","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Sharjah","","","59.99","0","0","-6.00","-10.50","0","0","43.49"
"16 Mar 2025 10:51:15 PM UTC","24445347672","Order","408-8307135-9956360","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Sharjah","","","59.99","2.50","-2.50","-6.00","-10.50","0","0","43.49"
"16 Mar 2025 11:12:34 PM UTC","24445347672","Order","171-0982181-8710742","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Abu Dhabi","","","45.99","0","0","-4.60","-9.45","0","0","31.94"
"17 Mar 2025 5:57:29 AM UTC","24461519002","Order","404-1042491-0981945","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","4","amazon.ae","Amazon","Dubai","","","363.96","3.00","-3.00","-36.40","-44.10","0","0","283.46"
"17 Mar 2025 7:11:02 AM UTC","24461519002","Order","404-3642095-3967566","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Dubai","","","59.99","1.50","-1.50","-6.00","-10.50","0","0","43.49"
"17 Mar 2025 7:23:54 PM UTC","24461519002","Order","405-8737223-4255509","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Dubai","","","45.99","0","0","-4.60","-9.45","0","0","31.94"
